[22:19:02] R= 757 , G= 757 , B= 757 , ORP= 579 , HCL= 7.79 , SG=1.220 , Temp=45.1
[22:19:04] R= 760 , G= 760 , B= 760 , ORP= 578 , HCL= 7.72 , SG=1.219 , Temp=45.1
[22:19:06] R= 760 , G= 760 , B= 760 , ORP= 578 , HCL= 7.72 , SG=1.219 , Temp=45.1
[22:19:08] R= 763 , G= 763 , B= 763 , ORP= 578 , HCL= 7.65 , SG=1.218 , Temp=45.1
[22:19:10] R= 763 , G= 763 , B= 763 , ORP= 578 , HCL= 7.65 , SG=1.218 , Temp=45.1
[22:19:12] R= 763 , G= 763 , B= 763 , ORP= 578 , HCL= 7.65 , SG=1.218 , Temp=45.1
[22:19:14] R= 766 , G= 766 , B= 766 , ORP= 577 , HCL= 7.58 , SG=1.217 , Temp=45.1
[22:19:16] R= 766 , G= 766 , B= 766 , ORP= 577 , HCL= 7.58 , SG=1.217 , Temp=45.1
[22:19:18] R= 768 , G= 768 , B= 768 , ORP= 576 , HCL= 7.51 , SG=1.216 , Temp=45.2
[22:19:20] R= 768 , G= 768 , B= 768 , ORP= 576 , HCL= 7.51 , SG=1.216 , Temp=45.2
[22:19:22] R= 771 , G= 771 , B= 771 , ORP= 576 , HCL= 7.44 , SG=1.215 , Temp=45.2
[22:19:24] R= 771 , G= 771 , B= 771 , ORP= 576 , HCL= 7.44 , SG=1.215 , Temp=45.2
[22:19:26] R= 771 , G= 771 , B= 771 , ORP= 576 , HCL= 7.44 , SG=1.215 , Temp=45.2
[22:19:28] R= 774 , G= 774 , B= 774 , ORP= 575 , HCL= 7.37 , SG=1.214 , Temp=45.2
[22:19:30] R= 774 , G= 774 , B= 774 , ORP= 575 , HCL= 7.37 , SG=1.214 , Temp=45.2
[22:19:32] R= 776 , G= 776 , B= 776 , ORP= 574 , HCL= 7.30 , SG=1.213 , Temp=45.3
[22:19:34] R= 776 , G= 776 , B= 776 , ORP= 574 , HCL= 7.30 , SG=1.213 , Temp=45.3
[22:19:36] R= 776 , G= 776 , B= 776 , ORP= 574 , HCL= 7.30 , SG=1.213 , Temp=45.3
[22:19:38] R= 778 , G= 778 , B= 778 , ORP= 574 , HCL= 7.23 , SG=1.212 , Temp=45.3
[22:19:40] R= 778 , G= 778 , B= 778 , ORP= 574 , HCL= 7.23 , SG=1.212 , Temp=45.3
[22:19:42] R= 780 , G= 780 , B= 780 , ORP= 573 , HCL= 7.16 , SG=1.211 , Temp=45.3
[22:19:44] R= 780 , G= 780 , B= 780 , ORP= 573 , HCL= 7.16 , SG=1.211 , Temp=45.3
[22:19:46] R= 780 , G= 780 , B= 780 , ORP= 573 , HCL= 7.16 , SG=1.211 , Temp=45.3
[22:19:48] R= 782 , G= 782 , B= 782 , ORP= 572 , HCL= 7.10 , SG=1.210 , Temp=45.3
[22:19:50] R= 782 , G= 782 , B= 782 , ORP= 572 , HCL= 7.10 , SG=1.210 , Temp=45.3
[22:19:52] R= 784 , G= 784 , B= 784 , ORP= 571 , HCL= 7.03 , SG=1.210 , Temp=45.4
[22:19:54] R= 784 , G= 784 , B= 784 , ORP= 571 , HCL= 7.03 , SG=1.210 , Temp=45.4
[22:19:56] R= 784 , G= 784 , B= 784 , ORP= 571 , HCL= 7.03 , SG=1.210 , Temp=45.4
[22:19:58] R= 786 , G= 786 , B= 786 , ORP= 570 , HCL= 6.96 , SG=1.209 , Temp=45.4
[22:20:00] R= 786 , G= 786 , B= 786 , ORP= 570 , HCL= 6.96 , SG=1.209 , Temp=45.4
[22:20:02] R= 788 , G= 788 , B= 788 , ORP= 570 , HCL= 6.89 , SG=1.208 , Temp=45.5
[22:20:04] R= 788 , G= 788 , B= 788 , ORP= 570 , HCL= 6.89 , SG=1.208 , Temp=45.5
[22:20:06] R= 788 , G= 788 , B= 788 , ORP= 570 , HCL= 6.89 , SG=1.208 , Temp=45.5
[22:20:08] R= 790 , G= 790 , B= 790 , ORP= 569 , HCL= 6.83 , SG=1.207 , Temp=45.5
[22:20:10] R= 790 , G= 790 , B= 790 , ORP= 569 , HCL= 6.83 , SG=1.207 , Temp=45.5
[22:20:12] R= 791 , G= 791 , B= 791 , ORP= 568 , HCL= 6.76 , SG=1.207 , Temp=45.5
[22:20:14] R= 791 , G= 791 , B= 791 , ORP= 568 , HCL= 6.76 , SG=1.207 , Temp=45.5
[22:20:16] R= 791 , G= 791 , B= 791 , ORP= 568 , HCL= 6.76 , SG=1.207 , Temp=45.5
[22:20:18] R= 792 , G= 792 , B= 792 , ORP= 567 , HCL= 6.69 , SG=1.206 , Temp=45.6
[22:20:20] R= 792 , G= 792 , B= 792 , ORP= 567 , HCL= 6.69 , SG=1.206 , Temp=45.6
[22:20:22] R= 794 , G= 794 , B= 794 , ORP= 566 , HCL= 6.63 , SG=1.206 , Temp=45.6
[22:20:24] R= 794 , G= 794 , B= 794 , ORP= 566 , HCL= 6.63 , SG=1.206 , Temp=45.6
[22:20:26] R= 794 , G= 794 , B= 794 , ORP= 566 , HCL= 6.63 , SG=1.206 , Temp=45.6
[22:20:28] R= 795 , G= 795 , B= 795 , ORP= 565 , HCL= 6.56 , SG=1.205 , Temp=45.7
[22:20:30] R= 795 , G= 795 , B= 795 , ORP= 565 , HCL= 6.56 , SG=1.205 , Temp=45.7
[22:20:32] R= 796 , G= 796 , B= 796 , ORP= 565 , HCL= 6.50 , SG=1.204 , Temp=45.7
[22:20:34] R= 796 , G= 796 , B= 796 , ORP= 565 , HCL= 6.50 , SG=1.204 , Temp=45.7
[22:20:36] R= 796 , G= 796 , B= 796 , ORP= 565 , HCL= 6.50 , SG=1.204 , Temp=45.7
[22:20:38] R= 797 , G= 797 , B= 797 , ORP= 564 , HCL= 6.43 , SG=1.204 , Temp=45.8
[22:20:40] R= 797 , G= 797 , B= 797 , ORP= 564 , HCL= 6.43 , SG=1.204 , Temp=45.8
[22:20:42] R= 797 , G= 797 , B= 797 , ORP= 563 , HCL= 6.37 , SG=1.203 , Temp=45.8
[22:20:44] R= 797 , G= 797 , B= 797 , ORP= 563 , HCL= 6.37 , SG=1.203 , Temp=45.8
[22:20:46] R= 797 , G= 797 , B= 797 , ORP= 563 , HCL= 6.37 , SG=1.203 , Temp=45.8
[22:20:48] R= 798 , G= 798 , B= 798 , ORP= 562 , HCL= 6.30 , SG=1.203 , Temp=45.9
[22:20:51] R= 798 , G= 798 , B= 798 , ORP= 562 , HCL= 6.30 , SG=1.203 , Temp=45.9
[22:20:53] R= 799 , G= 799 , B= 799 , ORP= 561 , HCL= 6.24 , SG=1.202 , Temp=45.9
[22:20:55] R= 799 , G= 799 , B= 799 , ORP= 561 , HCL= 6.24 , SG=1.202 , Temp=45.9
[22:20:57] R= 799 , G= 799 , B= 799 , ORP= 561 , HCL= 6.24 , SG=1.202 , Temp=45.9
[22:20:59] R= 799 , G= 799 , B= 799 , ORP= 560 , HCL= 6.18 , SG=1.202 , Temp=46.0
[22:21:01] R= 799 , G= 799 , B= 799 , ORP= 560 , HCL= 6.18 , SG=1.202 , Temp=46.0
[22:21:03] R= 799 , G= 799 , B= 799 , ORP= 559 , HCL= 6.12 , SG=1.202 , Temp=46.0
[22:21:05] R= 799 , G= 799 , B= 799 , ORP= 559 , HCL= 6.12 , SG=1.202 , Temp=46.0
